price,price_per_meter,elevator,parking,storage,location_encoded,floor_number,area
13990000000,127181000,1.0,1.0,1.0,8,4.0,110.0
30000000000,272727000,1.0,1.0,1.0,78,1.0,110.0
39000000000,205263000,1.0,1.0,1.0,42,6.0,190.0
10400000000,130000000,1.0,1.0,1.0,25,3.0,80.0
9200000000,92000000,1.0,1.0,1.0,32,13.0,105.0
9500000000,135714000,0.0,1.0,1.0,20,0.0,70.0
10300000000,83739000,1.0,1.0,1.0,141,2.0,123.0
3500000000,67307000,1.0,0.0,1.0,93,1.0,52.0
35100000000,130000000,1.0,1.0,1.0,81,6.0,280.0
8390000000,72956000,1.0,1.0,0.0,59,2.0,115.0
9400000000,93069000,1.0,1.0,1.0,32,10.0,101.0
3300000000,63461000,1.0,1.0,0.0,142,4.0,52.0
7100000000,87654000,1.0,1.0,1.0,38,1.0,81.0
4100000000,65079000,1.0,1.0,1.0,112,1.0,64.0
4250000000,68548000,1.0,1.0,1.0,55,3.0,62.0
3850000000,51333000,0.0,0.0,1.0,24,3.0,75.0
16900000000,201190000,1.0,1.0,1.0,78,2.0,84.0
3370000000,40119000,1.0,1.0,1.0,29,5.0,84.0
14000000000,112000000,1.0,1.0,1.0,20,5.0,125.0
9900000000,126923000,1.0,1.0,1.0,68,1.0,78.0
27500000000,213178000,1.0,1.0,1.0,78,4.0,129.0
3200000000,80000000,0.0,0.0,1.0,24,2.0,40.0
7420000000,70000000,1.0,1.0,1.0,98,1.0,106.0
10700000000,100943000,1.0,1.0,1.0,143,2.0,106.0
2065000000,59000000,1.0,0.0,1.0,144,2.0,35.0
5500000000,88709000,1.0,1.0,0.0,44,3.0,62.0
4000000000,70175000,1.0,1.0,1.0,0,2.0,57.0
6600000000,110000000,1.0,0.0,1.0,38,1.0,60.0
5000000000,66666000,0.0,0.0,1.0,55,1.0,75.0
15650000000,131512000,1.0,1.0,1.0,64,4.0,119.0
5100000000,92727000,1.0,1.0,1.0,21,3.0,55.0
1800000000,20689000,1.0,1.0,1.0,12,3.0,87.0
3900000000,40625000,1.0,1.0,1.0,4,3.0,96.0
3850000000,83695000,0.0,1.0,1.0,26,2.0,46.0
6200000000,101639000,0.0,0.0,1.0,89,0.0,61.0
14800000000,113846000,1.0,1.0,1.0,36,1.0,130.0
4850000000,69285000,1.0,0.0,1.0,39,3.0,70.0
3600000000,60000000,1.0,0.0,1.0,93,1.0,60.0
19500000000,168103000,1.0,1.0,1.0,35,3.0,116.0
6500000000,74712000,1.0,1.0,1.0,81,3.0,87.0
33000000000,157142000,1.0,1.0,1.0,78,15.0,210.0
3450000000,61607000,0.0,0.0,0.0,50,0.0,56.0
22700000000,151333000,0.0,1.0,1.0,61,2.0,160.0
13000000000,94202000,1.0,1.0,1.0,41,4.0,138.0
5400000000,87096000,1.0,1.0,0.0,30,1.0,62.0
4600000000,65714000,0.0,0.0,1.0,93,4.0,70.0
17500000000,166666000,1.0,1.0,1.0,145,2.0,105.0
5700000000,67857000,0.0,1.0,0.0,102,2.0,84.0
2550000000,44736000,0.0,1.0,1.0,34,2.0,57.0
105000000000,328125000,1.0,1.0,1.0,33,6.0,320.0
